X;Y
773071;6981949
772531;6981860
772183;6981065
771231;6981262
770446;6981184
769599;6980828
768774;6980281
767830;6980065
767059;6979483
766267;6978975
765783;6978423
764804;6978573
763848;6978779
762854;6978798
761904;6979062
760927;6979210
759934;6979126
758953;6978995
757964;6978955
757022;6979266
756037;6979320
755053;6979252
754128;6978905
753210;6978543
752226;6978409
751249;6978243
750308;6977980
749323;6977847
748368;6977566
747450;6977235
746813;6977859
745893;6978001
745063;6978472
744474;6979243
743997;6980047
744575;6980842
743995;6981499
743014;6981513
742048;6981279
741253;6980751
740800;6979864
740357;6978981
740182;6978013
739651;6977166
738957;6976467
738476;6975628
737623;6975107
736814;6974526
736039;6973896
735492;6973094
735161;6972167
734768;6971274
734539;6970313
734036;6969455
733527;6968609
733048;6967767
732356;6967045
731677;6966311
730999;6965577
730325;6964840
729481;6964315
728589;6963865
727987;6963091
727423;6962282
726886;6961440
726654;6960470
726319;6959528
726316;6958533
726524;6957568
726932;6956655
727245;6955713
727311;6954731
727042;6953777
726632;6952866
726352;6951914
725833;6951072
725059;6950463
724196;6949958
723333;6949452
722470;6948947
721607;6948441
720744;6947936
719882;6947431
719016;6946931
718140;6946448
717318;6945879
716453;6945396
715528;6945029
714714;6944452
714056;6943705
713285;6943078
712380;6942831
711399;6942816
710405;6942712
709447;6942424
708638;6941856
707684;6941616
706698;6941512
705709;6941614
704713;6941525
703749;6941340
703021;6940664
702360;6939978
701377;6939896
700390;6939981
699423;6939734
698483;6939393
698150;6938466
698087;6937470
697867;6936512
697466;6935595
697066;6934679
696666;6933762
696112;6932966
695317;6932360
694521;6931754
693692;6931198
692840;6930675
691987;6930152
691511;6929296
691095;6928387
690676;6927478
690132;6926648
689210;6926278
688273;6925930
687376;6925518
686674;6924806
686009;6924061
685340;6923333
684909;6922430
684467;6921534
684163;6920590
683782;6919670
683437;6918732
683079;6917799
682678;6916884
682143;6916068
681325;6915512
680336;6915362
679347;6915211
678359;6915061
677378;6914879
676436;6914543
675494;6914207
674553;6913870
673611;6913534
672663;6913218
671693;6912974
670724;6912729
669754;6912485
668799;6912189
667848;6911881
666915;6911533
666074;6910992
665275;6910392
664488;6909775
663702;6909157
662916;6908539
662119;6907935
661311;6907345
660516;6906746
660077;6905847
659646;6904945
659279;6904015
658912;6903085
658442;6902203
657775;6901466
656837;6901129
656000;6900592
655227;6899958
654464;6899315
654066;6898413
653882;6897431
653846;6896442
653898;6895446
653181;6894943
652183;6895002
651184;6895061
650186;6895120
649188;6895179
648206;6895123
647309;6894702
646527;6894080
645786;6893408
644922;6892920
644076;6892408
643446;6891651
642922;6890800
642530;6889885
642151;6888960
641769;6888035
641386;6887112
640851;6886291
640068;6885714
639084;6885574
638084;6885582
637092;6885541
636268;6885003
635515;6884344
634827;6883623
634264;6882808
634003;6881844
633504;6880985
632665;6880550
631849;6881053
631041;6881628
630285;6881426
630518;6880485
631057;6879643
631508;6878758
631663;6877770
631854;6876795
