X;Y
631065;6875650
631083;6875930
631145;6876080
631200;6876700
631169;6877010
631186;6877130
631265;6877380
631292;6877550
631279;6878240
631252;6878410
631161;6878710
631011;6879040
630893;6879350
630791;6879600
630680;6879790
630572;6880040
630225;6880360
630048;6880560
629614;6880890
629381;6881540
629414;6881960
629460;6882180
629508;6882270
629652;6882400
629866;6882560
630054;6882690
630280;6882820
630496;6882930
630604;6882940
630748;6882920
630911;6882850
631009;6882780
631120;6882600
631149;6882420
631265;6882040
631459;6881730
631649;6881600
631883;6881550
632061;6881380
632336;6881150
632579;6881010
632797;6880960
632992;6880980
633127;6881020
633244;6881100
633461;6881530
633684;6881980
633832;6882440
633909;6882830
633995;6883180
634171;6883450
634517;6883970
634821;6884210
635145;6884610
635452;6884890
636176;6885500
636392;6885680
636645;6885730
637013;6885890
637314;6885940
637956;6886020
638332;6886000
638706;6885910
638837;6885920
639162;6886000
639481;6886080
639565;6886070
639836;6886100
640104;6886180
640403;6886320
640674;6886520
640835;6886610
640997;6886810
641246;6887130
641283;6887240
641298;6887530
641359;6887800
641401;6888050
641353;6888290
641420;6888410
641529;6888600
641621;6888660
641693;6888860
641781;6889370
641844;6889560
641990;6890020
642180;6890350
642241;6890620
642312;6890800
642372;6891030
642389;6891370
642487;6891830
642582;6892050
642688;6892140
643186;6892430
643461;6892770
643660;6892870
643998;6892990
644371;6893400
644472;6893470
644738;6893670
644944;6893860
645200;6894030
645412;6894270
645675;6894590
645976;6894690
646227;6894870
646761;6895570
647163;6895590
647304;6895640
648453;6896020
648603;6896040
649014;6896150
649279;6896120
649594;6896030
649794;6895990
650099;6896020
650505;6896080
651016;6896180
651452;6896170
651601;6896140
651876;6896070
652286;6895930
652431;6895900
652701;6895890
652906;6895940
652987;6895980
653087;6896060
653209;6896220
653315;6896380
653416;6896480
653473;6896610
653519;6896870
653632;6897340
653686;6898100
653727;6898650
653693;6898790
653694;6898930
653731;6899180
653748;6899550
653775;6900140
653719;6900300
653711;6900680
653778;6900900
653913;6901170
654072;6901360
654147;6901410
654368;6901500
654553;6901460
654708;6901500
654879;6901590
655026;6901700
655226;6901830
655316;6901800
655361;6901750
655395;6901610
655383;6901390
655357;6901210
655476;6901090
655571;6901100
655732;6901130
655952;6901190
656244;6901360
656526;6901620
656673;6901740
656848;6901870
656953;6901890
657064;6901950
657149;6901980
657299;6902000
657470;6902000
657640;6902020
657876;6902100
658102;6902250
658503;6903040
659035;6904300
659221;6904680
659248;6904970
659189;6905130
659025;6905310
658766;6905500
658636;6905560
658482;6905700
658453;6905780
658309;6905930
658204;6905950
657791;6905860
657467;6905820
657682;6906460
657927;6906540
658178;6906570
658403;6906450
658483;6906470
658668;6906490
658858;6906450
659408;6906310
659518;6906330
659684;6906420
659739;6906490
659770;6906580
659882;6906780
660008;6906950
660145;6907260
660289;6907450
660483;6907590
660714;6907650
660795;6907750
660901;6907930
661046;6908060
661187;6908120
661463;6908130
661603;6908170
661690;6908390
661801;6908470
661931;6908510
662027;6908680
661949;6908860
661777;6909060
661418;6909340
661063;6909580
660783;6909670
660598;6909660
660433;6909690
660214;6909900
660031;6910080
659876;6910180
659982;6910260
659943;6910440
659924;6910590
659906;6910820
660106;6910820
660120;6910700
660240;6910590
660404;6910540
660784;6910510
660949;6910420
661103;6910280
661761;6909860
661826;6909840
662911;6909760
663082;6909820
663388;6909990
663892;6910410
664231;6910640
664556;6910860
664807;6911090
665013;6911350
665554;6911400
665924;6911460
666513;6911700
666855;6911960
667095;6912310
667132;6913090
667838;6913570
667965;6913610
668159;6913750
668337;6913900
668492;6913910
668730;6913960
668966;6914160
669126;6914240
669275;6914220
669344;6914060
669199;6913940
669095;6913810
669110;6913580
669179;6913480
669404;6913350
669528;6913310
669684;6913300
669949;6913360
670190;6913500
670161;6913710
670203;6913770
670312;6913860
670468;6913950
670649;6914060
670753;6914090
670939;6914100
671043;6914330
671016;6914520
671129;6914790
671649;6915380
672091;6915880
672206;6916010
672296;6916040
672435;6916080
672652;6916130
673159;6916130
673280;6916170
673336;6916160
673632;6916090
673831;6916160
674193;6916170
674387;6916110
674524;6916120
674956;6915970
675067;6915960
675333;6916060
675533;6916070
675709;6916110
675973;6916250
676052;6916260
676268;6916270
676786;6916270
676921;6916250
676982;6916250
677276;6916340
677335;6916340
677395;6916340
677475;6916310
677582;6916280
677655;6916290
677789;6916310
677893;6916360
678012;6916450
678060;6916440
678166;6916410
678235;6916400
678370;6916430
678470;6916450
678625;6916450
678973;6916400
679082;6916400
679304;6916450
679434;6916500
679581;6916580
679651;6916600
679722;6916590
680066;6916440
680194;6916440
680379;6916390
680716;6916420
680849;6916440
680993;6916520
681077;6916610
681134;6916740
681183;6916790
681260;6916920
681341;6917090
681398;6917220
681494;6917440
681574;6917580
681646;6917670
681741;6917810
682090;6918100
682223;6918210
682344;6918300
682432;6918450
682519;6918570
682665;6918840
682736;6918950
683012;6919310
683189;6919640
683207;6919670
683360;6919920
683419;6920080
683497;6920240
683681;6920580
683722;6920740
683845;6920950
683858;6921080
683851;6921150
683853;6921250
683888;6921390
683939;6921560
683990;6921690
684053;6921810
684113;6921900
684218;6922040
684289;6922210
684338;6922270
684489;6922570
684528;6922620
684595;6922690
684758;6922900
684816;6922980
684885;6923120
684958;6923240
685036;6923330
685126;6923440
685185;6923550
685224;6923670
685290;6923760
685373;6923860
685485;6923910
685606;6924020
685658;6924080
685679;6924180
685716;6924290
685777;6924360
685817;6924430
685934;6924740
686087;6924890
686305;6925080
686637;6925320
686816;6925490
686960;6925550
687117;6925670
687395;6925960
687497;6926040
687695;6926110
687882;6926250
688019;6926320
688070;6926410
688223;6926560
688310;6926730
688319;6926820
688289;6926950
688202;6927110
688084;6927250
688012;6927350
687994;6927390
687985;6927580
688099;6927630
688137;6927630
688432;6927630
688677;6927320
688911;6927090
689003;6926960
689131;6926850
689292;6926780
689432;6926780
689624;6926800
689789;6926860
689890;6926920
690006;6927030
690118;6927220
690174;6927440
690188;6927620
690183;6927730
690199;6928010
690177;6928130
690129;6928240
690031;6928410
689971;6928520
689923;6928630
689856;6928880
689848;6929010
689867;6929150
689904;6929330
689955;6929500
690008;6929620
690115;6929760
690298;6929940
690489;6930090
690554;6930130
690635;6930210
690763;6930420
690868;6930680
690925;6930770
691024;6930880
691066;6930900
691114;6930900
691189;6930870
691262;6930810
691318;6930790
691436;6930790
691601;6930850
691919;6931030
692132;6931160
692320;6931300
692400;6931380
692498;6931530
692528;6931590
692546;6931750
692539;6931830
692505;6931890
692547;6932020
692619;6931960
692676;6931980
692743;6932070
692816;6932220
692855;6932430
692835;6932600
692837;6932650
692871;6932840
692884;6932980
692871;6933030
692805;6933120
692762;6933150
692855;6933170
692917;6933190
692976;6933240
693076;6933360
693219;6933450
693399;6933590
693434;6933560
693505;6933550
693571;6933560
693633;6933580
693657;6933620
693657;6933730
693658;6933800
693673;6933900
693821;6934010
693849;6933960
694013;6933950
694116;6933970
694211;6934000
694262;6934040
694325;6934130
694384;6934230
694435;6934280
694502;6934320
694551;6934340
694680;6934370
694749;6934410
694794;6934440
694859;6934470
694903;6934480
694965;6934460
695027;6934430
695098;6934420
695193;6934430
695334;6934520
695399;6934530
695461;6934520
695593;6934470
695714;6934390
695827;6934350
695914;6934350
696003;6934370
696070;6934360
696200;6934390
696278;6934360
696384;6934330
696473;6934300
696497;6934260
696525;6934440
696503;6934520
696439;6934600
696400;6934630
696440;6934730
696484;6934760
696595;6935030
696751;6935180
696772;6935300
696721;6935440
696589;6935700
696448;6935910
696456;6936080
696434;6936150
696319;6936280
696317;6936330
696249;6936400
696216;6936810
696249;6937110
696330;6937860
696308;6937930
696513;6937940
696770;6938240
696905;6938410
697406;6938500
697534;6938630
697622;6938860
697633;6939090
697691;6939430
697653;6939540
697546;6939530
697271;6939450
697184;6939460
697352;6939890
697555;6940040
697550;6940200
697494;6940470
697597;6940570
697649;6940480
697742;6940230
697808;6940180
