X;Y
631880;6876232
631843;6876495
631796;6876828
631753;6877135
631697;6877532
631640;6877919
631606;6878137
631574;6878336
631523;6878666
631491;6878869
631266;6879272
631073;6879617
630862;6879946
630664;6880255
630465;6880569
630352;6880746
630306;6880990
630258;6881252
630323;6881667
630621;6881767
630991;6881644
631413;6881403
631618;6881247
631783;6881121
631954;6880944
632204;6880686
632540;6880546
632928;6880558
633140;6880658
633319;6880742
633525;6881012
633769;6881332
633891;6881599
634042;6881927
634095;6882137
634161;6882401
634242;6882720
634296;6882934
634449;6883142
634630;6883387
634845;6883645
635043;6883883
635183;6884051
635488;6884320
635647;6884461
635861;6884650
636066;6884830
636355;6885077
636590;6885278
636761;6885424
637228;6885590
637427;6885588
637645;6885586
637863;6885584
638098;6885582
638352;6885580
638735;6885577
639187;6885573
639421;6885571
639699;6885632
640020;6885704
640304;6885766
640528;6885982
640785;6886228
641173;6886600
641313;6886937
641515;6887422
641664;6887782
641824;6888168
642002;6888595
642172;6889011
642413;6889599
642591;6890055
642770;6890557
642974;6890884
643167;6891185
643344;6891480
643485;6891717
643735;6892136
643972;6892325
644189;6892498
644517;6892760
644846;6892890
645014;6892956
645205;6893032
645415;6893150
645637;6893276
646070;6893659
646282;6893858
646431;6893999
646725;6894249
647043;6894520
647461;6894806
647615;6894915
648004;6895052
648253;6895140
648483;6895221
648843;6895199
649214;6895178
649532;6895159
649953;6895134
650404;6895107
650671;6895092
651107;6895066
651610;6895036
651995;6895013
652416;6894988
652835;6894964
653212;6894941
653450;6894905
653669;6895120
653897;6895344
653900;6895688
653903;6896032
653830;6896562
653791;6896849
653850;6897225
653911;6897614
653952;6897880
654031;6898251
654150;6898810
654349;6899130
654487;6899352
654830;6899632
655178;6899918
655458;6900148
655764;6900398
656059;6900640
656358;6900885
656715;6901067
657117;6901272
657464;6901374
657784;6901469
657975;6901660
658159;6901843
658379;6902087
658525;6902355
658800;6902859
658946;6903170
659084;6903520
659232;6903897
659390;6904296
659547;6904693
659688;6905051
659845;6905374
660079;6905853
660244;6906189
660435;6906580
660531;6906776
660821;6906988
661116;6907203
661454;6907450
661839;6907730
662193;6907988
662496;6908209
663071;6908661
663382;6908905
663721;6909172
664032;6909416
664283;6909613
664588;6909853
664918;6910112
665237;6910363
665574;6910628
665869;6910859
666324;6911152
666647;6911361
667053;6911623
667450;6911751
668207;6911997
668575;6912117
669135;6912299
669546;6912432
670300;6912622
670797;6912748
671250;6912862
671653;6912964
672023;6913057
672390;6913149
672880;6913273
673290;6913420
673714;6913571
674149;6913726
674540;6913866
675014;6914035
675393;6914171
675792;6914313
676206;6914461
676552;6914584
676901;6914709
677202;6914816
677533;6914935
677766;6914970
678096;6915021
678420;6915070
679022;6915162
679376;6915215
679828;6915284
680229;6915345
680669;6915412
680997;6915462
681423;6915527
681675;6915716
681940;6915915
682208;6916116
682375;6916242
682527;6916564
682699;6916930
682843;6917235
682976;6917517
683147;6917982
683314;6918438
683463;6918794
683632;6919200
683731;6919509
683815;6919772
683950;6920195
684088;6920452
684246;6920745
684292;6920963
684373;6921349
684557;6921711
684786;6922164
684970;6922561
685146;6922933
685358;6923370
685707;6923645
685898;6923931
686115;6924184
686356;6924466
686677;6924809
687010;6925147
687252;6925392
687497;6925641
687745;6925733
688213;6925907
688601;6926052
689061;6926223
689451;6926368
689819;6926504
690100;6926609
690321;6926882
690504;6927109
690631;6927380
690799;6927741
690999;6928179
691164;6928539
691354;6928955
691524;6929324
691651;6929603
691792;6929911
691869;6930079
692231;6930301
692629;6930545
693197;6930894
693572;6931124
693847;6931292
694198;6931508
694424;6931680
694672;6931869
694926;6932062
695155;6932237
695465;6932473
695825;6932747
696081;6932942
696421;6933201
696590;6933589
696826;6934130
697075;6934699
697270;6935146
697398;6935439
697489;6935647
697612;6935929
697738;6936218
697868;6936514
697979;6936769
698062;6936959
698077;6937278
698089;6937514
698102;6937781
698120;6938166
698132;6938410
698250;6938773
698284;6939061
698482;6939392
698884;6939542
699368;6939715
699669;6939819
699838;6939878
700192;6939944
700595;6940019
700949;6939963
701235;6939918
701499;6939876
701800;6939885
702126;6939894
702472;6940019
702629;6940075
702922;6940428
703037;6940700
703267;6940883
703457;6941034
703679;6941267
703810;6941404
704068;6941449
704304;6941490
704526;6941509
704889;6941540
705251;6941573
705438;6941590
705723;6941615
705929;6941634
706196;6941592
706578;6941531
706900;6941480
707208;6941533
707509;6941585
707784;6941633
707998;6941670
708310;6941724
708519;6941760
708755;6941951
708946;6942106
709273;6942372
709672;6942492
709996;6942589
710213;6942654
710409;6942713
710665;6942732
711057;6942762
711411;6942818
711694;6942863
712030;6942916
712372;6942833
712597;6942779
712878;6942795
713079;6942934
713343;6943118
713630;6943328
713973;6943592
714135;6943812
714280;6944009
714396;6944166
714642;6944387
714884;6944604
715182;6944801
715376;6944929
715680;6945129
715920;6945212
716120;6945281
716366;6945366
716607;6945449
716820;6945523
717102;6945725
717319;6945880
717723;6946169
717990;6946347
718205;6946491
718509;6946656
718715;6946768
719184;6947022
719361;6947126
719703;6947326
720028;6947516
720392;6947730
720751;6947940
721123;6948158
721548;6948407
721801;6948555
722203;6948790
722533;6948984
722957;6949232
723333;6949452
723764;6949704
724076;6949887
724394;6950073
724771;6950294
725135;6950508
725590;6950774
725834;6951074
726029;6951313
726188;6951509
726338;6951879
726453;6952276
726498;6952568
726673;6952957
726836;6953319
726950;6953572
727135;6953983
727233;6954199
727289;6954583
727370;6955129
727293;6955489
727217;6955844
727131;6956252
726918;6956685
726748;6957056
726608;6957375
726452;6957733
726313;6958218
726316;6958469
726318;6958758
726309;6958985
726297;6959271
726290;6959448
726418;6959804
726532;6960122
726649;6960446
726712;6960732
726774;6961009
726828;6961250
726861;6961401
727096;6961776
727252;6962025
727394;6962253
727697;6962555
727882;6962823
727959;6963019
728056;6963265
728322;6963580
728423;6963751
728643;6963903
728975;6964066
729238;6964195
729588;6964368
729837;6964491
729999;6964571
730207;6964743
730434;6964931
730639;6965166
730803;6965354
730976;6965552
731222;6965812
731464;6966066
731701;6966339
731900;6966568
732100;6966777
732272;6966957
732477;6967171
732674;6967377
732846;6967556
732969;6967685
733141;6967865
733281;6968011
733402;6968138
733469;6968388
733532;6968628
733587;6968836
733724;6969027
733977;6969381
734137;6969581
734293;6969944
734455;6970188
734574;6970365
734617;6970691
734666;6971052
734780;6971301
734868;6971706
735117;6972008
735200;6972310
735286;6972619
735397;6972741
735486;6973074
735571;6973390
735756;6973627
736072;6973922
736342;6974128
736625;6974344
736919;6974627
737125;6974782
737393;6974983
737641;6975116
737968;6975292
738288;6975504
738668;6975754
738740;6975949
738798;6976106
738910;6976360
739013;6976594
739273;6976810
739604;6977086
739736;6977309
739890;6977569
740015;6977779
740247;6978104
740266;6978569
740335;6978883
740413;6979236
740527;6979456
740732;6979851
740910;6980187
740984;6980441
741172;6980701
741329;6980919
741467;6981110
741678;6981384
741809;6981554
741926;6981706
742113;6981949
