X;Y;Z;Z_1
719026,6751;6948427,607;44;44
719327,7408;6948428,618;44;44
718124,9488;6947961,388;51;51
718426,0391;6947962,352;43;43
718727,1294;6947963,332;42;42
719028,2196;6947964,328;44;44
719329,3097;6947965,34;46;46
717524,1903;6947496,231;43;43
717825,3052;6947497,164;43;43
718126,42;6947498,112;41;41
718427,5347;6947499,076;54;54
718728,6494;6947500,056;47;47
719029,764;6947501,052;47;47
719330,8786;6947502,064;46;46
716923,3339;6947031,14;43;43
717224,4733;6947032,04;45;45
717525,6126;6947032,957;42;42
717826,7519;6947033,889;42;42
718127,8911;6947034,838;44;44
718429,0303;6947035,802;42;42
718730,1694;6947036,782;44;44
719031,3085;6947037,778;42;42
719332,4475;6947038,79;44;44
716322,3795;6946566,114;43;43
716623,5434;6946566,983;41;41
716924,7073;6946567,867;42;42
717225,8711;6946568,768;42;42
717527,0349;6946569,685;42;42
717828,1986;6946570,617;43;43
718129,3622;6946571,566;45;45
718430,5259;6946572,53;42;42
718731,6894;6946573,51;40;40
719032,853;6946574,506;40;40
719334,0164;6946575,518;39;39
715118,9501;6946099,526;48;48
715420,1387;6946100,332;49;49
715721,3272;6946101,153;49;49
716022,5156;6946101,99;44;44
716323,704;6946102,843;43;43
716624,8923;6946103,713;43;43
716926,0806;6946104,597;47;47
717227,2689;6946105,498;40;40
717528,4571;6946106,415;41;41
717829,6453;6946107,348;41;41
718130,8334;6946108,296;42;42
718432,0214;6946109,26;39;39
718733,2095;6946110,241;37;37
719034,3974;6946111,237;41;41
719335,5853;6946112,249;47;47
714517,7508;6945634,694;39;39
714818,9639;6945635,468;40;40
715120,1769;6945636,258;40;40
715421,3899;6945637,063;40;40
715722,6028;6945637,885;44;44
716023,8157;6945638,722;44;44
716325,0285;6945639,575;42;42
716626,2413;6945640,445;44;44
716927,454;6945641,33;44;44
717228,6667;6945642,23;42;42
717529,8794;6945643,147;46;46
717831,092;6945644,08;42;42
718132,3045;6945645,029;43;43
718433,517;6945645,993;41;41
718734,7295;6945646,973;43;43
719035,9419;6945647,97;41;41
719337,1542;6945648,982;41;41
713916,4536;6945169,928;42;42
714217,6912;6945170,67;42;42
714518,9287;6945171,428;41;41
714820,1662;6945172,202;37;37
715121,4036;6945172,992;41;41
715422,641;6945173,797;41;41
715723,8784;6945174,619;42;42
716025,1157;6945175,456;41;41
716326,353;6945176,31;42;42
716627,5902;6945177,179;41;41
716928,8274;6945178,064;46;46
717230,0645;6945178,965;42;42
717531,3016;6945179,882;40;40
717832,5387;6945180,815;40;40
718133,7756;6945181,763;40;40
718435,0126;6945182,728;43;43
713013,7963;6944704,533;42;42
713315,0585;6944705,227;41;41
713616,3205;6944705,938;41;41
713917,5826;6944706,664;39;39
714218,8446;6944707,406;39;39
714520,1066;6944708,164;37;37
714821,3685;6944708,938;40;40
715122,6304;6944709,728;37;37
715423,8922;6944710,534;40;40
715725,154;6944711,355;45;45
716026,4158;6944712,193;42;42
716327,6775;6944713,046;41;41
716628,9391;6944713,915;43;43
716930,2008;6944714,8;40;40
717231,4623;6944715,702;43;43
717532,7239;6944716,618;42;42
711207,1319;6944237,438;46;46
713316,1386;6944241,965;39;39
713617,4251;6944242,676;44;44
713918,7116;6944243,402;42;42
714219,998;6944244,144;40;40
714521,2844;6944244,902;40;40
714822,5708;6944245,676;39;39
715123,8571;6944246,466;38;38
715425,1434;6944247,272;40;40
715726,4296;6944248,094;42;42
716027,7158;6944248,931;43;43
716329,002;6944249,785;44;44
710304,1072;6943772,475;45;45
710605,4185;6943773,027;44;44
710906,7297;6943773,594;40;40
711208,041;6943774,177;40;40
711509,3522;6943774,777;46;46
711810,6633;6943775,392;44;44
712111,9745;6943776,023;45;45
712413,2856;6943776,67;42;42
712714,5966;6943777,332;40;40
713015,9077;6943778,011;41;41
713317,2187;6943778,706;38;38
713618,5296;6943779,416;39;39
713919,8405;6943780,142;40;40
714221,1514;6943780,885;39;39
714522,4623;6943781,643;38;38
714823,7731;6943782,417;42;42
715125,0838;6943783,207;37;37
715426,3945;6943784,013;39;39
715727,7052;6943784,834;41;41
709702,2714;6943308,162;41;41
710003,6071;6943308,681;49;49
710304,9429;6943309,217;45;45
710606,2786;6943309,769;43;43
710907,6143;6943310,336;39;39
711208,95;6943310,919;46;46
711510,2856;6943311,519;48;48
711811,6212;6943312,134;41;41
712112,9568;6943312,765;45;45
712414,2924;6943313,412;40;40
712715,6279;6943314,075;38;38
713016,9633;6943314,753;38;38
713318,2988;6943315,448;40;40
713619,6342;6943316,158;39;39
713920,9695;6943316,885;39;39
714222,3048;6943317,627;38;38
714523,6401;6943318,385;40;40
714824,9753;6943319,16;40;40
709100,3377;6942843,914;43;43
709401,6979;6942844,402;41;41
709703,0582;6942844,906;40;40
710004,4184;6942845,425;41;41
710305,7786;6942845,961;39;39
710607,1388;6942846,513;44;44
710908,4989;6942847,08;44;44
711209,859;6942847,664;47;47
711511,2191;6942848,263;40;40
711812,5791;6942848,878;42;42
712113,9391;6942849,509;41;41
712415,2991;6942850,156;42;42
712716,6591;6942850,819;40;40
713018,019;6942851,498;40;40
713319,3788;6942852,192;39;39
713620,7387;6942852,903;40;40
713922,0985;6942853,63;37;37
714223,4582;6942854,372;45;45
714524,8179;6942855,13;40;40
699758,1411;6942373,416;47;47
700059,5262;6942373,411;54;54
700360,9113;6942373,422;47;47
704881,6874;6942375,496;44;44
705183,0724;6942375,762;49;49
705484,4573;6942376,043;47;47
705785,8423;6942376,341;43;43
706087,2272;6942376,654;47;47
706388,6122;6942376,983;55;55
708498,3061;6942379,731;40;40
708799,6909;6942380,188;42;42
709101,0756;6942380,66;41;41
709402,4603;6942381,148;40;40
709703,845;6942381,652;41;41
710005,2297;6942382,172;42;42
710306,6143;6942382,707;38;38
710607,9989;6942383,259;43;43
710909,3835;6942383,827;45;45
711210,768;6942384,41;39;39
