X;Y
491882;6937075
492767;6937116
493471;6937233
493637;6937184
494339;6937160
495505;6937126
495997;6937187
496477;6937486
497308;6937575
497578;6937459
498012;6937307
498636;6937024
499365;6936697
500156;6936459
500594;6936406
501173;6936416
501579;6936460
502123;6936553
502411;6936401
502629;6936323
503012;6936284
503451;6936067
503623;6935841
504056;6935661
504615;6935497
505431;6935288
506207;6935026
506432;6934915
506708;6934708
507135;6934457
507416;6934441
507581;6934494
508209;6934813
508692;6935045
509211;6935178
509791;6935303
510356;6935455
511290;6935639
512186;6935653
513200;6935448
513687;6935234
514150;6934925
515123;6934245
515705;6933720
515925;6933579
516062;6933617
516162;6934049
516345;6934684
516565;6934918
516853;6935636
517392;6936361
518068;6936841
518359;6936920
518846;6937119
519461;6937083
520012;6937028
520980;6936827
521598;6936487
522258;6935803
522680;6935534
523070;6935249
523545;6934868
524047;6933924
524387;6933031
524530;6932403
524445;6931852
524635;6931682
524865;6931549
525114;6931452
525833;6931302
526475;6931214
526846;6931330
527583;6931746
527985;6932047
528610;6932736
529359;6933678
530628;6935206
531000;6935899
531202;6936488
531523;6937373
532061;6937833
532476;6938004
533153;6938110
533856;6938392
535787;6938572
536776;6938386
537644;6938119
538586;6937268
539257;6936474
539585;6935924
540382;6934817
540986;6933816
541386;6932918
541904;6931107
541944;6930341
541700;6929100
541651;6928070
541734;6927766
541914;6927020
542349;6926540
542855;6926014
543129;6925614
543679;6925455
544151;6925368
544479;6925661
544662;6926015
544728;6926410
544660;6927053
544457;6928778
544352;6929751
544381;6930747
544524;6931330
544830;6932075
545334;6932821
546159;6933434
547335;6933900
548225;6933930
549530;6933687
549937;6933392
550980;6932552
551461;6931579
551823;6930872
552221;6929876
552218;6929190
551996;6928520
551715;6927600
551468;6926977
551439;6926521
551305;6926223
550991;6925834
550839;6925472
550526;6924956
550416;6924603
550237;6924273
550055;6923744
549973;6923149
549973;6922404
549973;6921545
549989;6921081
550171;6920321
550369;6919957
550816;6919626
551345;6919395
551742;6919229
552073;6919213
552536;6919329
552907;6919553
553218;6919799
553891;6920310
554282;6920723
554457;6921017
554848;6921690
554956;6922119
555103;6922452
555201;6922982
555301;6923464
555459;6924373
555696;6925449
555899;6925968
556060;6926348
556455;6927107
556676;6927447
557344;6928155
558192;6929208
558676;6929387
559347;6929640
560779;6929188
561774;6928574
562430;6928098
562941;6927077
563206;6926268
563579;6925190
563758;6924100
563831;6922897
563800;6921835
563896;6920652
564059;6920263
564129;6919642
564051;6918751
564033;6918446
563744;6917696
563612;6917466
563513;6917372
563164;6916892
562720;6916416
562204;6915932
561608;6915543
560870;6915210
560180;6914924
559743;6914702
559465;6914590
559132;6914614
558703;6914836
558529;6915138
558410;6915249
557997;6915122
557409;6914765
557108;6914630
556814;6914590
556385;6914503
555941;6914344
555671;6914154
555346;6913963
555044;6913693
554885;6913511
554774;6913328
554703;6913146
554903;6912710
554961;6912664
555266;6912547
555515;6912521
556198;6912559
556868;6912686
557278;6912754
558228;6913107
558996;6913552
560186;6914193
561383;6914655
562867;6914863
563414;6914820
563868;6914861
564348;6914872
565727;6914833
566339;6914784
566753;6914734
567679;6914701
568158;6914585
568423;6914436
568704;6914221
568985;6914072
569415;6914023
570043;6914072
570457;6914238
570887;6914453
571735;6914450
572150;6914263
572801;6913709
572961;6913538
573431;6912993
573752;6912347
573969;6911440
574084;6910995
574120;6909664
574092;6908687
574048;6907883
574028;6907509
573647;6906703
573249;6906343
573032;6906154
572716;6905869
572151;6905409
571848;6905226
571692;6905051
571692;6904813
571718;6904562
571758;6904403
571890;6904138
572168;6903755
572393;6903530
572551;6903358
572843;6903265
573015;6903199
573200;6903159
573550;6903106
574207;6903276
574884;6903593
575307;6903858
575814;6904058
575960;6904121
576181;6904197
576594;6904405
577200;6904696
577666;6904963
577892;6905246
578114;6905620
578199;6905729
578679;6906138
579036;6906379
579584;6906758
580282;6907084
580956;6907219
581586;6907198
582037;6907177
583274;6906312
583598;6905817
583500;6904555
583184;6903648
582760;6903047
582293;6902535
581740;6901915
581321;6901463
580801;6900909
580348;6900423
579996;6899954
579996;6899535
580170;6899366
580583;6899056
581448;6898675
582528;6898064
582861;6898159
583036;6898286
583345;6898286
584250;6897842
585314;6897167
585751;6896659
585989;6896246
586147;6895564
586227;6894429
586298;6893675
586520;6893286
587973;6891635
588806;6890738
589331;6890228
589757;6889808
590122;6889380
590528;6888972
590914;6888642
591352;6888197
591644;6887832
591847;6887514
592049;6887296
592337;6887107
592539;6887069
592796;6887107
592940;6887107
593084;6887074
593195;6887076
593408;6887071
594060;6885787
593841;6885684
593669;6885526
593464;6885418
593366;6885390
593179;6885404
593013;6885450
592932;6885512
592850;6885459
592832;6885284
592898;6884885
592957;6884583
593297;6883880
593378;6883720
593656;6883356
593948;6883174
594150;6883087
594321;6883065
594427;6883036
594671;6883026
594818;6883057
595317;6883273
595757;6883462
595929;6883547
596371;6883911
596693;6884163
596739;6884216
596868;6884300
596956;6884429
597030;6884472
597125;6884561
597536;6885151
597610;6885248
597678;6885356
597737;6885473
597812;6885590
597860;6885698
597903;6885749
597955;6885838
598065;6885994
598112;6886048
598247;6886254
598302;6886378
598421;6886588
598702;6886923
598941;6887189
599126;6887316
599357;6887439
599490;6887493
599673;6887588
599947;6887703
600473;6887879
600953;6887965
601528;6887958
601899;6887869
602153;6887797
602330;6887747
602478;6887653
602552;6887629
602626;6887624
602684;6887608
603201;6887272
603538;6887090
603712;6886987
604320;6886463
604358;6886450
604796;6886033
604860;6885949
604936;6885846
604998;6885697
605021;6885475
604997;6885093
604966;6884928
604923;6884805
604583;6884306
604395;6884121
604072;6883927
603722;6883561
603214;6883196
602976;6882926
602991;6882718
603055;6882647
603174;6882543
602936;6882393
602761;6882234
602301;6881916
602031;6881853
601912;6881988
601888;6882123
601809;6882202
601348;6881797
600713;6881408
600443;6881178
600150;6880829
599872;6880607
599491;6880464
599245;6880472
599102;6880472
599007;6880345
599046;6880170
599113;6880078
599211;6879986
599388;6879861
599540;6879805
599681;6879773
600090;6879711
600125;6879676
600245;6879643
600443;6879629
600873;6879580
601172;6879585
601408;6879621
601623;6879636
601830;6879697
602112;6879718
602229;6879756
602319;6879767
602440;6879805
602706;6879819
602780;6879828
602846;6879837
602987;6879879
603132;6879901
603275;6879900
603471;6879937
603585;6879923
603707;6879931
604181;6879957
604325;6879943
604669;6879906
604970;6879789
605432;6879666
605686;6879464
605834;6879312
606070;6879100
606137;6879053
606335;6878826
606946;6878122
607426;6877494
607971;6876816
608517;6876303
608930;6876270
609261;6876336
609575;6876320
609757;6876171
609923;6875807
610369;6875493
610948;6875328
611515;6875257
611672;6875293
612297;6875474
612757;6875654
613334;6875887
613900;6876283
614560;6876684
614764;6876813
615705;6877243
616266;6877398
616583;6877457
617012;6877674
617112;6877696
617541;6877822
617858;6877990
618334;6878129
618734;6878301
619162;6878542
619387;6878742
620478;6878920
621377;6879040
622065;6879251
623150;6879344
623758;6879145
624685;6878643
625055;6878299
626391;6876989
626933;6876169
627158;6875481
627145;6874515
627145;6873735
627397;6873007
627436;6872438
627785;6871856
628219;6871676
628717;6871666
629257;6871824
629690;6872227
629976;6872735
630103;6873803
630220;6874481
630368;6874915
631065;6875650
631083;6875930
631145;6876080
631200;6876700
631169;6877010
631186;6877130
631265;6877380
631292;6877550
631279;6878240
631252;6878410
631161;6878710
631011;6879040
630893;6879350
630791;6879600
630680;6879790
630572;6880040
630225;6880360
630048;6880560
629614;6880890
629381;6881540
629414;6881960
629460;6882180
629508;6882270
629652;6882400
629866;6882560
630054;6882690
630280;6882820
630496;6882930
630604;6882940
630748;6882920
630911;6882850
631009;6882780
631120;6882600
631149;6882420
631265;6882040
631459;6881730
631649;6881600
631883;6881550
632061;6881380
632336;6881150
632579;6881010
632797;6880960
632992;6880980
633127;6881020
633244;6881100
633461;6881530
633684;6881980
633832;6882440
633909;6882830
633995;6883180
634171;6883450
634517;6883970
634821;6884210
635145;6884610
635452;6884890
636176;6885500
636392;6885680
636645;6885730
637013;6885890
637314;6885940
637956;6886020
638332;6886000
638706;6885910
638837;6885920
639162;6886000
639481;6886080
639565;6886070
639836;6886100
640104;6886180
640403;6886320
640674;6886520
640835;6886610
640997;6886810
641246;6887130
641283;6887240
641298;6887530
641359;6887800
641401;6888050
641353;6888290
641420;6888410
641529;6888600
641621;6888660
641693;6888860
641781;6889370
641844;6889560
641990;6890020
642180;6890350
642241;6890620
642312;6890800
642372;6891030
642389;6891370
642487;6891830
642582;6892050
642688;6892140
643186;6892430
643461;6892770
643660;6892870
643998;6892990
644371;6893400
644472;6893470
644738;6893670
644944;6893860
645200;6894030
645412;6894270
645675;6894590
645976;6894690
646227;6894870
646761;6895570
647163;6895590
647304;6895640
648453;6896020
648603;6896040
649014;6896150
649279;6896120
649594;6896030
649794;6895990
650099;6896020
650505;6896080
651016;6896180
651452;6896170
651601;6896140
651876;6896070
652286;6895930
652431;6895900
652701;6895890
652906;6895940
652987;6895980
653087;6896060
653209;6896220
653315;6896380
653416;6896480
653473;6896610
653519;6896870
653632;6897340
653686;6898100
653727;6898650
653693;6898790
653694;6898930
653731;6899180
653748;6899550
653775;6900140
653719;6900300
653711;6900680
653778;6900900
653913;6901170
654072;6901360
654147;6901410
654368;6901500
654553;6901460
654708;6901500
654879;6901590
655026;6901700
655226;6901830
655316;6901800
655361;6901750
655395;6901610
655383;6901390
655357;6901210
655476;6901090
655571;6901100
655732;6901130
655952;6901190
656244;6901360
656526;6901620
656673;6901740
656848;6901870
656953;6901890
657064;6901950
657149;6901980
657299;6902000
657470;6902000
657640;6902020
657876;6902100
658102;6902250
658503;6903040
659035;6904300
659221;6904680
659248;6904970
659189;6905130
659025;6905310
658766;6905500
658636;6905560
658482;6905700
658453;6905780
658309;6905930
658204;6905950
657791;6905860
657467;6905820
657682;6906460
657927;6906540
658178;6906570
658403;6906450
658483;6906470
658668;6906490
658858;6906450
659408;6906310
659518;6906330
659684;6906420
659739;6906490
659770;6906580
659882;6906780
660008;6906950
660145;6907260
660289;6907450
660483;6907590
660714;6907650
660795;6907750
660901;6907930
661046;6908060
661187;6908120
661463;6908130
661603;6908170
661690;6908390
661801;6908470
661931;6908510
662027;6908680
661949;6908860
661777;6909060
661418;6909340
661063;6909580
660783;6909670
660598;6909660
660433;6909690
660214;6909900
660031;6910080
659876;6910180
659982;6910260
659943;6910440
659924;6910590
659906;6910820
660106;6910820
660120;6910700
660240;6910590
660404;6910540
660784;6910510
660949;6910420
661103;6910280
661761;6909860
661826;6909840
662911;6909760
663082;6909820
663388;6909990
663892;6910410
664231;6910640
664556;6910860
664807;6911090
665013;6911350
665554;6911400
665924;6911460
666513;6911700
666855;6911960
667095;6912310
667132;6913090
667838;6913570
667965;6913610
668159;6913750
668337;6913900
668492;6913910
668730;6913960
668966;6914160
669126;6914240
669275;6914220
669344;6914060
669199;6913940
669095;6913810
669110;6913580
669179;6913480
669404;6913350
669528;6913310
669684;6913300
669949;6913360
670190;6913500
670161;6913710
670203;6913770
670312;6913860
670468;6913950
670649;6914060
670753;6914090
670939;6914100
671043;6914330
671016;6914520
671129;6914790
671649;6915380
672091;6915880
672206;6916010
672296;6916040
672435;6916080
672652;6916130
673159;6916130
673280;6916170
673336;6916160
673632;6916090
673831;6916160
674193;6916170
674387;6916110
674524;6916120
674956;6915970
675067;6915960
675333;6916060
675533;6916070
675709;6916110
675973;6916250
676052;6916260
676268;6916270
676786;6916270
676921;6916250
676982;6916250
677276;6916340
677335;6916340
677395;6916340
677475;6916310
677582;6916280
677655;6916290
677789;6916310
677893;6916360
678012;6916450
678060;6916440
678166;6916410
678235;6916400
678370;6916430
678470;6916450
678625;6916450
678973;6916400
679082;6916400
679304;6916450
679434;6916500
679581;6916580
679651;6916600
679722;6916590
680066;6916440
680194;6916440
680379;6916390
680716;6916420
680849;6916440
680993;6916520
681077;6916610
681134;6916740
681183;6916790
681260;6916920
