"Longitude","Latitude","Elevation","January_temp"
372.1,658.9,255,1.7
303.5,665.9,125,2
218.4,597.9,8,4.6
245,955,90,MISS
326.8,691.2,32,3.1
247.8,664.2,32,3.5
299,967.4,21,3.4
319.9,675.7,61,3
171.6,620.8,12,4.9
342.2,731.3,45,2.9
365,865,37,MISS
323.5,602.6,242,1.3
275,835,295,MISS
146.4,933.2,15,4
352.1,648.8,183,1.7
215,745,620,MISS
232.9,855.1,107,1.9
364.9,741.1,29,3.3
255.4,578,178,2.3
335,655,313,MISS
374.3,648.4,152,2.3
212.7,569.3,166,2.6
305,625,620,MISS
203.8,849.2,67,2.7
315.9,673.9,35,2.9
215,835,665,MISS
272.5,688.2,335,1
318.8,830.3,215,1.2
215,565,145,MISS
248,666.7,5,3.1
245,745,630,MISS
236.9,626.1,16,3.7
279.9,589,146,2.1
270.2,739.4,130,2.5
351.3,673.6,49,2.9
395,805,30,MISS
245,685,60,MISS
275,625,442,MISS
460.7,1208.9,24,3.1
323.2,659.5,185,2.1
245,775,780,MISS
283,960.9,38,2.7
251.1,660.1,30,3
185,805,210,MISS
305,805,760,MISS
291.8,711.2,152,1.8
335,625,370,MISS
275,775,433,MISS
263.4,708,107,2.2
321.3,869.9,125,2.9
240.6,565.7,46,3.3
275,685,229,MISS
99.9,744.6,9,5
315,652,244,1.6
245,565,46,MISS
317.5,743.8,70,2.1
372.4,754.4,30,3.2
225.9,974.7,112,4.2
299.7,622.6,295,1.1
245,625,95,MISS
271.4,664.3,66,2.7
315.2,791.4,339,0.6
336.4,952.2,36,3.2
335,835,310,MISS
310.1,723.9,23,2.5
347.9,636.7,198,2
230.3,683.6,89,2.8
305,685,45,MISS
335,859.5,32,3.2
350.3,716.7,18,3.2
78.2,855.5,5,4.5
324.5,675.5,26,3.3
208.3,664.9,43,4.1
324.4,663.6,184,2.2
312.5,703.3,116,1.7
180,827.6,4,4.3
142.5,679.1,20,5.2
365,835,305,MISS
344.8,780,258,1.6
155.3,745.3,37,3.9
322.9,863,15,3.1
185,685,15,MISS
141.8,850.1,67,3.5
217.5,654.4,5,4.7
274.9,855.7,5,3.6
275,955,198,MISS
376.6,839.2,55,1.8
338.8,748.6,61,1.7
245,715,488,MISS
215,685,152,MISS
275,865,70,MISS
455,1165,2,MISS
245,895,430,MISS
245,535,48,MISS
185,865,325,MISS
358.7,609.7,155,1.7
245,925,210,MISS
318.5,673.5,61,3
138.3,695.9,35,4.6
207.4,913.4,14,3.9
250.6,666.3,8,3.2
297.4,646.4,208,1.3
275,925,250,MISS
155,745,30,MISS
245,865,520,MISS
173.9,891.8,16,4.7
335,805,540,MISS
373.6,634.6,34,2.6
291.8,759.9,94,2
203.5,620.9,18,4.7
259.3,756.2,232,1.2
346.8,720.9,10,2.9
298.6,809.5,341,0.9
387.5,786.4,4,3
305,955,100,MISS
181.3,664.3,12,3.6
303.4,828.3,220,0.7
245.2,564.6,15,3.3
365,805,312,MISS
215,715,335,MISS
305,775,800,MISS
275.1,560.7,73,2.7
215,895,160,MISS
391.5,804.2,52,2.7
387.7,812.7,65,2.4
125,925,50,MISS
335,715,40,MISS
